idx,severity_score,risk_zone_steps,rescue_time,kits,survived
1,3,0,2,5,1
2,2,1,9,1,0
3,3,0,19,0,0
4,3,3,3,0,1
5,1,1,9,4,0
6,3,0,19,1,0
7,3,5,19,3,0
8,1,3,20,2,0
9,1,6,7,5,0
10,2,2,10,1,0
11,1,6,12,0,0
12,1,3,5,2,0
13,2,4,10,0,0
14,3,3,19,0,0
15,2,0,19,2,0
16,3,4,13,4,0
17,1,5,4,0,0
18,3,1,11,0,1
19,1,6,5,3,0
20,2,3,22,2,0
21,1,2,13,1,0
22,3,2,22,0,0
23,3,5,7,4,1
24,3,1,7,3,1
25,2,2,22,5,0
26,3,1,12,0,0
27,1,6,3,2,0
28,2,2,4,1,1
29,3,5,12,1,0
30,3,3,14,5,1
31,2,1,10,1,0
32,1,5,19,4,0
33,2,5,20,3,0
34,3,3,13,1,0
35,1,4,17,0,0
36,1,6,5,1,0
37,3,1,15,4,1
38,1,3,14,4,0
39,2,4,10,4,0
40,1,5,5,5,0
41,3,6,10,5,0
42,2,0,11,3,1
43,1,3,2,5,0
44,3,2,18,1,0
45,3,0,22,2,0
46,3,4,21,1,0
47,1,2,7,4,0
48,3,0,21,2,0
49,2,0,5,2,1
50,2,1,3,1,0
51,3,0,4,5,1
52,2,6,4,4,0
53,1,1,17,4,0
54,1,2,18,4,0
55,2,1,19,5,0
56,3,1,11,3,1
57,3,5,13,3,0
58,3,3,5,1,1
59,1,0,12,0,0
60,3,4,9,4,1
61,1,0,4,5,1
62,3,0,9,0,1
63,1,6,12,0,0
64,3,1,10,5,1
65,2,1,19,1,0
66,3,4,20,3,0
67,1,6,17,3,0
68,1,0,5,5,1
69,2,2,15,3,0
70,2,6,3,5,0
71,3,5,5,0,0
72,2,5,12,0,0
73,1,1,8,4,0
74,2,1,15,1,0
75,2,3,9,0,0
76,2,6,19,0,0
77,1,5,19,0,0
78,1,6,9,1,0
79,2,3,17,1,0
80,2,0,7,3,0
81,1,3,10,3,0
82,2,3,19,5,0
83,3,3,6,1,1
84,2,1,3,4,1
85,3,4,3,5,1
86,2,0,3,4,1
87,2,4,18,1,0
88,1,4,4,1,0
89,1,4,4,5,0
90,1,3,5,4,0
91,1,4,21,0,0
92,3,0,15,5,1
93,3,4,18,2,0
94,2,1,12,1,0
95,2,3,6,5,1
96,3,2,16,2,0
97,1,0,16,4,0
98,3,0,4,4,1
99,1,4,10,1,0
